"p_aaer","gvkey","min_year","max_year"
"1033","021110",1992,1992
"1037","008496",1992,1993
"1044","028140",1993,1993
"1047","012455",1994,1994
"1053","025927",1993,1993
"1067","023126",1993,1993
"1071","024712",1992,1993
"1104","028450",1994,1995
"1106","002711",1992,1993
"1110","010185",1994,1995
"1123","022730",1993,1994
"1126","007991",1990,1991
"1126","024226",1991,1993
"1128","028354",1994,1994
"1140","005250",1991,1995
"1154","004675",1996,1996
"1169","013471",1995,1996
"1176","007107",1994,1996
"1181","030356",1994,1994
"1184","014336",1993,1993
"1190","010549",1996,1997
"1209","021118",1998,1998
"1233","025317",1993,1993
"1237","025475",1993,1993
"1240","001009",1994,1994
"1246","065024",1997,1997
"1258","025056",1995,1996
"1259","029313",1996,1996
"1282","065825",1997,1997
"1285","013070",1994,1996
"1295","025279",1997,1997
"1301","028354",1993,1993
"1301","028626",1993,1994
"1304","064150",1997,1997
"1308","021962",1995,1995
"1311","030031",1994,1996
"1328","008062",1995,1995
"1329","007171",1997,1998
"1331","001253",1994,1995
"1343","024531",1995,1995
"1350","111534",1998,1999
"1358","064282",1997,1997
"1361","112088",1998,1998
"1378","013351",1993,1996
"1393","001278",1996,1997
"1397","025899",1995,1995
"1422","006062",1996,1997
"1427","006841",1998,1998
"1440","109421",1998,1999
"1454","029457",1996,1997
"1456","030086",1996,1999
"1470","009538",1995,1999
"1480","063087",1996,1996
"1500","028958",1998,2000
"1503","119273",2000,2000
"1509","062291",2000,2000
"1511","010422",1996,1997
"1518","005888",1995,1996
"1531","061142",1996,1996
"1533","006435",1995,1998
"1534","028337",1996,1997
"1536","013608",1996,1996
"1542","011636",1997,2000
"1555","126295",2000,2001
"1559","063057",1999,1999
"1563","012141",1996,1998
"1568","024680",1996,1996
"1573","124034",2000,2000
"1575","014913",1997,1998
"1579","009155",1998,1999
"1595","001920",1999,1999
"1602","013615",1991,1992
"1603","063416",1997,1997
"1622","062162",1997,1998
"1628","063117",1998,1998
"1629","029930",1996,1997
"1631","025495",2001,2001
"1648","061927",1996,1999
"1655","012698",1999,2000
"1662","125859",2001,2001
"1669","120723",1999,1999
"1677","110100",1998,1998
"1689","009224",1999,1999
"1701","018549",2001,2002
"1718","062165",1996,1996
"1721","063859",1997,1997
"1731","031520",1998,1999
"1747","010540",1999,1999
"1751","063199",1997,1997
"1766","020204",1997,1997
"1773","063051",1999,1999
"1775","031594",2000,2000
"1780","140977",2001,2001
"1781","063741",1998,1998
"1782","108913",1998,2000
"1803","010232",1998,2002
"1813","063628",1998,1998
"1821","006127",1998,2000
"1832","061171",1999,2000
"1839","010787",1998,2002
"1848","066659",2001,2001
"1854","030006",1998,1998
"1873","014304",2000,2000
"1875","012801",1999,1999
"1877","029997",1999,1999
"1893","025130",1999,2000
"1927","065009",1999,2000
"1930","005109",2000,2000
"1938","023950",1998,2001
"1944","028942",2000,2000
"1958","028787",2000,2000
"1960","006502",1998,1999
"1967","030068",1997,1998
"1978","003439",2000,2000
"1979","119157",2002,2002
"1984","107523",2002,2002
"1987","005142",1999,2000
"1995","002615",1999,1999
"1997","063758",1998,1998
"2016","062599",2000,2000
"2027","003839",1998,1999
"2033","062712",1998,1998
"2046","012236",2000,2000
"2062","011160",1998,1999
"2064","126136",2000,2000
"2066","005848",1999,1999
"2068","006598",1992,1992
"2072","005439",1998,1998
"2075","002403",2000,2001
"2077","031551",1998,1999
"2082","012589",1999,2002
"2097","004769",2001,2001
"2105","112048",1999,1999
"2117","121835",2000,2000
"2124","023667",2000,2001
"2125","062261",1999,2000
"2126","001173",1999,2002
"2134","024402",2001,2001
"2137","009191",2000,2000
"2148","006307",2000,2000
"2166","023667",2002,2002
"2172","031467",2000,2001
"2181","004245",2000,2001
"2185","066292",1999,2000
"2202","063803",2000,2000
"2216","025056",2000,2002
"2218","124975",1999,1999
"2219","062215",1999,2002
"2225","004016",1998,2000
"2227","121437",2000,2000
"2232","003144",1997,1999
"2238","029854",1998,1998
"2259","064630",2000,2001
"2270","063604",2003,2003
"2273","004093",2001,2001
"2280","064051",1999,2000
"2284","030068",1999,2001
"2285","135805",2001,2001
"2290","020196",1999,1999
"2309","063951",2000,2002
"2313","011306",1992,1996
"2339","140069",2001,2001
"2345","029108",2001,2004
"2351","028997",2001,2002
"2360","025783",2000,2000
"2370","003650",1997,2002
"2376","030994",1999,1999
"2383","137435",2000,2000
"2401","120823",2000,2000
