"gvkey","iid","cik","first_date","last_date"
"162076","01",1305168,2004-10-15,2023-02-23
"024470","01",866368,1998-04-20,2023-02-28
"038780","01",1826376,2020-12-18,2023-02-15
"024515","01",1641489,2015-05-14,2023-03-06
"019974","01",1508655,2011-05-13,2023-02-16
"063312","01",1016708,1999-11-12,2022-11-18
"039371","01",1794905,2021-04-28,2023-05-05
"001078","90W",1800,1994-03-03,2023-02-17
"275862","01",1603978,2014-04-25,2023-03-07
"005073","22",1467858,2009-11-16,2023-04-25
"232135","90",1828316,2020-11-25,2023-04-05
"035168","01",1755672,2018-10-18,2023-05-04
"021020","01",1501756,2014-05-30,2023-03-30
"186310","01W",1501585,2010-10-15,2023-05-04
"178148","02",1434614,2012-07-27,2021-08-05
"018636","04W",835403,2002-11-12,2022-08-04
"013721","01W",1555280,2012-08-13,2023-05-04
"187400","01",68622,1994-03-30,2023-02-23
"031507","01",1532286,2017-03-27,2023-03-08
"036204","01",1672619,2019-08-15,2023-03-21
"171059","01",1401257,2007-10-17,2023-02-28
"018573","01",1577368,2013-08-16,2021-08-05
"178081","01",1099590,2007-05-11,2023-05-04
"024868","15",1002910,2003-11-14,2023-02-22
"184254","04",1411494,2008-04-08,2022-02-25
"022676","04",1610590,2014-07-03,2023-03-31
"011856","01",92230,1994-03-31,2023-05-01
"020018","01",1341235,2013-12-04,2023-03-09
"061028","01",945983,1996-05-15,2023-03-16
"176593","01",1378950,2006-11-02,2023-05-03
"064547","01W",764038,1995-11-13,2023-02-24
"012603","04",1224608,2003-11-19,2023-02-24
"008544","02W",78150,2002-11-05,2023-03-24
"178862","05",1409493,2008-02-06,2023-05-04
"009899","05",732717,1994-03-18,2023-05-01
"010221","01",351817,1995-05-15,2023-05-04
"021165","01",1537028,2014-05-13,2023-03-06
"027186","03",1560385,2015-12-22,2023-03-01
"110732","01C",1318220,2016-08-05,2023-04-27
"178403","04",1448397,2009-03-19,2023-03-31
"331856","01",1280776,2019-02-04,2023-02-23
"037741","02",1830392,2021-03-31,2023-04-03
"162925","04",1332551,2005-07-11,2023-03-07
"004016","02",29534,1994-04-27,2023-03-24
"030435","01",1687932,2016-12-01,2023-03-30
"039882","01",1780201,2019-06-24,2023-03-14
